,Average ICSEA value,Boys,Completed senior secondary school,Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Indigenous students,Location,Name,Non-teaching staff,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,Teaching staff,Total enrolments,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
21,1000,191,,399.2,3.9,21.5,209,3%,Metropolitan,"Seacliff Primary School, Seacliff, SA",7,90784,1072,Government,Primary,,,24,400,,2014,418,389,420,388,395,501,497,504,485,465,537,543,550,541,493,,,,,,R-7
22,1000,196,,399.8,4.4,22.8,204,4%,Metropolitan,"Seacliff Primary School, Seacliff, SA",8,90784,1076,Government,Primary,,,26,400,,2013,437,408,443,424,416,509,495,509,485,466,546,551,557,575,528,,,,,,R-7
23,1000,193,,381,5.4,20.4,188,4%,Metropolitan,"Seacliff Primary School, Seacliff, SA",9,90784,1071,Government,Primary,,,24,381,,2012,409,392,430,411,403,490,486,512,485,462,550,551,542,543,513,,,,,,R-7
24,1000,177,,359,4.3,19.6,182,4%,Metropolitan,"Seacliff Primary School, Seacliff, SA",6,90784,1073,Government,Primary,,,22,359,,2011,424,413,418,416,412,487,502,507,481,447,533,554,553,537,540,,,,,,R-7
25,1000,192,,357,4.1,18.2,165,4%,Metropolitan,"Seacliff Primary School, Seacliff, SA",6,90784,1077,Government,Primary,,,21,357,,2010,400,369,408,393,413,498,499,513,485,486,525,536,544,524,529,,,,,,R-7
26,1000,180,,331,5.8,17.6,151,2%,Metropolitan,"Seacliff Primary School, Seacliff, SA",8,90784,1089,Government,Primary,,,20,331,,2009,441,409,425,410,422,484,470,508,471,477,528,524,530,507,530,,,,,,R-7
27,1000,164,,313,5.2,16,149,1%,Metropolitan,"Seacliff Primary School, Seacliff, SA",7,90784,1089,Government,Primary,,,18,313,,2008,406,401,400,425,422,479,457,484,473,481,553,546,574,536,565,,,,,,-
28,1000,236,,429,12.8,41.4,193,12%,Metropolitan,"Blair Athol North School B-7, Blair Athol, SA",20,91574,931,Government,Primary,,,45,429,,2014,350,325,338,359,344,439,443,423,459,418,482,477,495,510,464,,,,,,"U, R-7"
29,1000,215,,398,10.6,39.6,183,11%,Metropolitan,"Blair Athol North School B-7, Blair Athol, SA",16,91574,914,Government,Primary,,,44,398,,2013,349,363,347,351,360,422,408,441,449,433,454,475,468,483,456,,,,,,"U, R-7"
30,1000,194,,367,11.8,35.3,173,9%,Metropolitan,"Blair Athol North School B-7, Blair Athol, SA",17,91574,922,Government,Primary,,,38,367,,2012,325,319,333,348,366,353,401,405,425,389,508,491,504,505,482,,,,,,"U, R-7"
31,1000,191,,349,9.2,29.8,158,12%,Metropolitan,"Blair Athol North School B-7, Blair Athol, SA",12,91574,924,Government,Primary,,,32,349,,2011,350,350,342,342,360,393,428,409,413,390,480,478,471,495,486,,,,,,"U, R-7"
32,1000,328,,626,7.1,34.8,298,1%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",9,90897,1052,Government,Primary,,,38,626,,2014,414,390,405,396,400,515,488,504,486,464,552,564,559,547,532,,,,,,R-7
33,1000,333,,653,7.6,35.8,320,2%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",10,90897,1049,Government,Primary,,,37,653,,2013,439,385,431,408,406,515,478,490,481,469,550,551,544,552,539,,,,,,R-7
34,1000,212,,402,2,23.5,190,1%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",2,90897,1040,Government,Primary,,,25,402,,2012,399,373,403,396,400,503,500,503,485,491,566,576,564,570,541,,,,,,3-7
35,1000,217,,403,2,20.5,186,1%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",2,90897,1038,Government,Primary,,,24,403,,2011,397,374,410,388,401,521,495,515,484,498,531,541,542,543,533,,,,,,R-7
36,1000,217,,399,2.5,16.4,182,1%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",3,90897,1041,Government,Primary,,,17,399,,2010,409,398,411,388,413,504,492,494,482,490,540,546,557,542,547,,,,,,3-7
37,1000,206,,387,3.7,17.2,181,2%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",4,90897,1031,Government,Primary,,,18,387,,2009,427,395,418,397,416,491,480,491,479,494,557,546,557,549,559,,,,,,3-7
38,1000,208,,380,5.3,16.7,172,2%,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",6,90897,1031,Government,Primary,,,18,380,,2008,419,417,416,402,435,518,497,493,483,500,549,569,559,562,540,,,,,,-
39,1000,162,,304,9.3,17.4,142,9%,Metropolitan,"Woodville Primary School, Woodville South, SA",14,90628,1001,Government,Primary,,,18,304,,2014,443,406,418,415,376,492,458,489,492,440,553,529,555,542,516,,,,,,R-7
40,1000,177,,332,9.5,19.8,155,8%,Metropolitan,"Woodville Primary School, Woodville South, SA",14,90628,993,Government,Primary,,,21,332,,2013,443,380,413,419,414,516,463,485,492,463,551,520,537,549,535,,,,,,R-7
41,1000,200,,354,7.6,21.8,154,8%,Metropolitan,"Woodville Primary School, Woodville South, SA",12,90628,996,Government,Primary,,,24,354,,2012,405,373,390,404,389,505,479,499,491,470,554,531,538,534,518,,,,,,R-7
42,1000,187,,347,8.7,19.9,160,6%,Metropolitan,"Woodville Primary School, Woodville South, SA",11,90628,1007,Government,Primary,,,21,347,,2011,412,375,409,381,392,520,478,490,487,472,549,533,541,535,506,,,,,,R-7
43,1000,200,,369,8,21.1,169,6%,Metropolitan,"Woodville Primary School, Woodville South, SA",12,90628,1014,Government,Primary,,,24,369,,2010,434,371,399,403,412,532,480,479,496,482,571,534,536,533,513,,,,,,"U, R-7"
44,1000,208,,387,5.3,23.8,179,5%,Metropolitan,"Woodville Primary School, Woodville South, SA",6,90628,969,Government,Primary,,,26,387,,2009,407,373,421,414,401,506,475,503,498,493,543,531,538,541,519,,,,,,"U, R-7"
45,1000,216,,386,6,24.2,170,5%,Metropolitan,"Woodville Primary School, Woodville South, SA",7,90628,969,Government,Primary,,,26,386,,2008,390,387,395,418,417,493,456,476,484,475,575,542,552,575,545,,,,,,-
46,1000,41,,71,2.4,5.4,30,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",7,91023,1018,Non-government,Primary,,,8,71,,2014,388,354,369,367,363,506,477,508,472,475,523,509,532,504,476,,,,,,R-7
47,1000,44,,73,3,5.7,29,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",7,91023,1032,Non-government,Primary,,,9,73,,2013,450,356,424,389,405,521,469,525,495,492,536,509,521,540,502,,,,,,"U, R-7"
48,1000,41,,79,1.8,5.7,38,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",4,91023,1045,Non-government,Primary,,,7,79,,2012,430,370,438,403,427,496,465,487,475,470,578,518,569,556,543,,,,,,"U, R-7"
49,1000,45,,82,1.8,5.8,37,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",5,91023,1047,Non-government,Primary,,,8,82,,2011,439,369,400,423,425,468,457,492,465,473,499,572,526,508,507,,,,,,"U, R-7"
50,1000,47,,85,1.7,6,38,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",5,91023,1046,Non-government,Primary,,,7,85,,2010,381,363,389,368,424,517,461,489,493,491,543,524,549,531,536,,,,,,"U, R-7"
51,1000,41,,76,1.3,5,35,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",5,91023,1051,Non-government,Primary,,,6,76,,2009,422,372,395,394,440,460,462,457,459,484,-,-,-,-,-,,,,,,"U, R-7"
52,1000,34,,66,1.5,4.8,32,-,Provincial,"Mary MacKillop Memorial School, Penola, SA",5,91023,1051,Non-government,Primary,,,6,66,,2008,454,389,433,420,447,502,470,514,489,517,483,500,519,508,527,,,,,,-
53,1000,130,20,247.3,9.2,21.2,121,2%,Remote,"Yorketown Area School, Yorketown, SA",12,90725,986,Government,Combined,3,16,23,251,314,2014,362,377,381,406,351,482,456,469,446,439,541,530,521,522,508,572,597,571,551,570,R-12
54,1000,137,20,258.8,9.1,19.5,123,2%,Remote,"Yorketown Area School, Yorketown, SA",12,90725,987,Government,Combined,7,14,22,260,8,2013,376,373,404,358,396,454,436,477,451,462,491,504,499,502,490,562,571,581,576,538,R-12
55,1000,135,26,253,9.3,20.5,122,1%,Remote,"Yorketown Area School, Yorketown, SA",12,90725,996,Government,Combined,11,22,24,257,11,2012,330,336,319,328,329,465,453,460,454,417,524,525,527,509,516,541,587,546,545,546,R-12
56,1000,137,21,260.3,9.4,20,127,1%,Remote,"Yorketown Area School, Yorketown, SA",13,90725,999,Government,Combined,7,21,21,264,22,2011,366,359,403,389,372,405,436,414,416,426,561,557,555,571,522,564,570,569,577,526,R-12
57,1000,152,7,278.2,10,21.4,129,1%,Remote,"Yorketown Area School, Yorketown, SA",14,90725,1001,Government,Combined,,6,22,281,,2010,372,355,357,339,396,458,468,438,454,464,560,550,538,553,538,560,598,566,553,555,R-12
58,1000,138,20,268.3,7,21,132,1%,Remote,"Yorketown Area School, Yorketown, SA",9,90725,978,Government,Combined,,20,22,270,,2009,251,288,288,288,312,464,454,458,444,457,540,563,547,570,547,576,586,579,560,568,R-12
59,1000,124,,235.1,6.4,22.4,114,-,Remote,"Yorketown Area School, Yorketown, SA",8,90725,978,Government,Combined,,,24,238,,2008,326,357,333,351,374,474,455,449,478,490,530,557,541,533,520,541,571,571,552,539,-
60,1000,196,35,364.2,14.9,26.9,171,2%,Provincial,"Yankalilla Area School, Yankalilla, SA",21,90724,1004,Government,Combined,,27,32,367,405,2014,386,369,381,362,380,511,483,517,483,479,519,528,549,519,470,544,565,574,569,551,R-12
61,1000,183,25,358.6,14.2,26.8,176,2%,Provincial,"Yankalilla Area School, Yankalilla, SA",22,90724,998,Government,Combined,1,21,32,359,89,2013,387,349,383,374,382,470,448,488,438,443,501,506,518,495,480,565,603,608,573,571,R-12
62,1000,190,21,368.5,11.1,23.8,181,2%,Provincial,"Yankalilla Area School, Yankalilla, SA",15,90724,994,Government,Combined,1,13,27,371,5,2012,346,340,368,347,378,404,423,425,426,421,511,503,518,496,470,534,550,547,538,521,R-12
63,1000,179,26,354.6,13.3,22.6,177,1%,Provincial,"Yankalilla Area School, Yankalilla, SA",18,90724,995,Government,Combined,2,25,26,356,46,2011,376,381,367,327,370,450,469,475,435,459,536,529,546,502,547,554,561,572,565,554,R-12
64,1000,178,30,361.6,12.4,26.5,185,2%,Provincial,"Yankalilla Area School, Yankalilla, SA",17,90724,995,Government,Combined,,29,30,363,,2010,350,352,357,336,380,448,448,446,460,451,502,504,523,502,508,561,570,567,552,555,R-12
65,1000,180,21,366.6,11.5,27.5,187,2%,Provincial,"Yankalilla Area School, Yankalilla, SA",16,90724,982,Government,Combined,,19,31,367,,2009,384,383,358,357,382,492,474,519,451,472,538,528,530,543,536,547,552,555,535,537,R-12
66,1000,180,,390.9,13.4,28.8,213,3%,Provincial,"Yankalilla Area School, Yankalilla, SA",17,90724,982,Government,Combined,,,30,393,,2008,362,374,363,369,393,467,428,456,447,466,506,530,513,498,504,547,551,568,560,532,-
67,1000,175,51,328.6,10.9,25.4,175,3%,Provincial,"Balaklava High School, Balaklava, SA",15,90727,953,Government,Secondary,3,40,29,350,293,2014,,,,,,,,,,,,,,,,543,568,549,548,524,8-12
68,1000,185,47,337.8,9.2,25.5,164,2%,Provincial,"Balaklava High School, Balaklava, SA",13,90727,957,Government,Secondary,,38,28,349,68,2013,,,,,,,,,,,,,,,,537,564,548,554,528,8-12
69,1000,183,44,347.6,10.4,27.4,174,3%,Provincial,"Balaklava High School, Balaklava, SA",14,90727,973,Government,Secondary,,38,29,357,108,2012,,,,,,,,,,,,,,,,541,556,546,538,549,8-12
70,1000,197,45,358.3,11.3,27.8,175,3%,Provincial,"Balaklava High School, Balaklava, SA",16,90727,974,Government,Secondary,,29,30,372,82,2011,,,,,,,,,,,,,,,,545,549,552,539,546,8-12
71,1000,200,42,367.6,11.5,29.7,181,2%,Provincial,"Balaklava High School, Balaklava, SA",16,90727,976,Government,Secondary,,37,32,381,,2010,,,,,,,,,,,,,,,,547,554,548,550,546,8-12
72,1000,206,50,377.5,9.4,29.8,186,1%,Provincial,"Balaklava High School, Balaklava, SA",14,90727,966,Government,Secondary,,46,31,392,,2009,,,,,,,,,,,,,,,,542,550,542,537,529,8-12
73,1000,201,,386,11.7,27.7,200,1%,Provincial,"Balaklava High School, Balaklava, SA",16,90727,966,Government,Secondary,,,29,401,,2008,,,,,,,,,,,,,,,,543,550,565,563,546,-
74,1000,656,254,1247,23.3,93.8,595,2%,Metropolitan,"Adelaide High School, Adelaide, SA",28,90726,1074,Government,Secondary,12,214,108,1251,715,2014,,,,,,,,,,,,,,,,613,613,609,615,594,"U, 8-12"
75,1000,647,241,1253.3,21.6,92.7,608,2%,Metropolitan,"Adelaide High School, Adelaide, SA",25,90726,1065,Government,Secondary,25,218,102,1255,189,2013,,,,,,,,,,,,,,,,607,618,597,599,578,"U, 8-12"
76,1000,680,230,1250.9,21.8,90.8,573,2%,Metropolitan,"Adelaide High School, Adelaide, SA",26,90726,1049,Government,Secondary,34,196,107,1253,139,2012,,,,,,,,,,,,,,,,600,613,590,596,603,"U, 8-12"
77,1000,691,218,1255.6,22.7,90.8,566,2%,Metropolitan,"Adelaide High School, Adelaide, SA",26,90726,1051,Government,Secondary,10,209,118,1257,276,2011,,,,,,,,,,,,,,,,611,616,605,611,614,"U, 8-12"
78,1000,667,195,1245,21.4,94.9,581,2%,Metropolitan,"Adelaide High School, Adelaide, SA",26,90726,1052,Government,Secondary,,172,122,1248,,2010,,,,,,,,,,,,,,,,615,620,602,615,604,"U, 8-12"
79,1000,636,192,1218.4,22.2,92.8,583,1%,Metropolitan,"Adelaide High School, Adelaide, SA",26,90726,1022,Government,Secondary,,180,115,1219,,2009,,,,,,,,,,,,,,,,604,627,603,606,603,"U, 8-12"
80,1000,645,,1213.8,19.2,90.1,571,1%,Metropolitan,"Adelaide High School, Adelaide, SA",24,90726,1022,Government,Secondary,,,97,1216,,2008,,,,,,,,,,,,,,,,590,615,604,595,600,-
81,1000,103,,198,5.2,12.4,95,2%,Provincial,"Penola Primary School, Penola, SA",8,90721,1003,Government,Primary,,,15,198,,2014,397,400,412,437,390,484,498,502,484,462,553,563,568,544,518,,,,,,R-7
82,1000,99,,194,5,10.4,95,2%,Provincial,"Penola Primary School, Penola, SA",7,90721,998,Government,Primary,,,12,194,,2013,410,384,417,406,428,421,420,441,423,443,592,576,571,577,560,,,,,,R-7
83,1000,100,,192,4,11.8,92,1%,Provincial,"Penola Primary School, Penola, SA",7,90721,1037,Government,Primary,,,12,192,,2012,413,408,414,409,390,482,491,500,482,480,549,551,542,522,513,,,,,,R-7
84,1000,96,,182,3.5,10.8,86,1%,Provincial,"Penola Primary School, Penola, SA",7,90721,1045,Government,Primary,,,12,182,,2011,353,360,363,367,384,544,510,505,487,474,527,537,537,531,529,,,,,,R-7
85,1000,96,,175,2.8,11.7,79,1%,Provincial,"Penola Primary School, Penola, SA",6,90721,1052,Government,Primary,,,13,175,,2010,423,404,424,389,429,493,478,484,469,459,560,571,575,530,534,,,,,,R-7
86,1000,97,,178,2.8,10.4,81,1%,Provincial,"Penola Primary School, Penola, SA",6,90721,1047,Government,Primary,,,12,178,,2009,455,410,432,431,444,477,458,477,451,474,532,577,556,533,562,,,,,,R-7
87,1000,92,,180,3,10.4,88,1%,Provincial,"Penola Primary School, Penola, SA",8,90721,1047,Government,Primary,,,12,180,,2008,375,404,382,384,421,484,452,460,479,461,532,545,506,527,536,,,,,,-
88,1000,172,39,312.2,16.5,20.6,142,4%,Provincial,"Oakbank Area School, Oakbank, SA",21,90720,984,Government,Combined,,25,21,314,106,2014,379,367,425,370,431,468,440,461,459,449,524,512,551,540,523,541,544,545,555,496,R-12
89,1000,194,41,366,19.7,26.4,173,2%,Provincial,"Oakbank Area School, Oakbank, SA",25,90720,952,Government,Combined,4,27,29,367,60,2013,340,326,331,358,351,464,449,458,448,448,486,520,492,505,482,541,540,543,544,482,R-12
90,1000,181,34,336.5,17.7,27.2,161,2%,Provincial,"Oakbank Area School, Oakbank, SA",24,90720,981,Government,Combined,4,17,29,342,140,2012,352,363,369,385,367,480,453,478,480,451,558,535,548,554,550,535,538,549,554,513,R-12
91,1000,188,38,373.4,9.8,27.2,186,2%,Provincial,"Oakbank Area School, Oakbank, SA",12,90720,985,Government,Combined,1,25,30,374,32,2011,354,338,309,336,347,468,505,443,431,441,520,543,536,528,526,558,558,557,552,530,R-12
92,1000,211,29,419.2,11,32.3,214,2%,Provincial,"Oakbank Area School, Oakbank, SA",14,90720,985,Government,Combined,,19,35,425,,2010,390,365,397,374,398,458,459,440,459,445,500,539,536,539,559,551,548,552,566,523,R-12
93,1000,223,36,452,11.1,31.6,232,1%,Provincial,"Oakbank Area School, Oakbank, SA",15,90720,1031,Government,Combined,,31,36,455,,2009,390,399,404,371,379,465,524,466,464,491,519,519,515,505,510,556,560,563,559,547,R-12
94,1000,261,,505.9,13.1,33.4,247,1%,Provincial,"Oakbank Area School, Oakbank, SA",19,90720,1031,Government,Combined,,,37,508,,2008,348,370,368,345,364,480,543,476,460,482,522,520,508,520,511,536,547,562,551,544,-
95,1000,79,6,184.8,7.3,17.6,106,6%,Very Remote,"Wudinna Area School, Wudinna, SA",13,90723,1024,Government,Combined,1,6,20,185,11,2014,425,417,449,406,408,557,521,554,533,526,534,542,535,524,536,572,604,565,570,534,R-12
96,1000,76,6,177.8,7.9,16.5,105,6%,Very Remote,"Wudinna Area School, Wudinna, SA",15,90723,1021,Government,Combined,,6,20,181,,2013,450,375,447,435,430,559,519,540,524,525,515,557,551,546,512,570,582,581,586,571,R-12
97,1000,78,4,181,7.1,17.6,104,5%,Very Remote,"Wudinna Area School, Wudinna, SA",14,90723,989,Government,Combined,2,4,20,182,5,2012,456,414,462,446,428,516,481,509,493,513,545,550,532,553,522,540,586,566,563,565,R-12
98,1000,73,5,168,6.7,14.8,97,5%,Very Remote,"Wudinna Area School, Wudinna, SA",11,90723,999,Government,Combined,4,5,16,170,4,2011,447,404,450,426,391,505,515,526,481,502,532,548,550,557,546,587,639,605,607,598,R-12
99,1000,85,4,175,7.2,16,91,3%,Very Remote,"Wudinna Area School, Wudinna, SA",11,90723,998,Government,Combined,,4,18,176,,2010,335,339,350,347,405,488,479,440,483,449,553,576,535,546,546,583,599,570,561,595,R-12
100,1000,81,1,173.4,7.8,16.2,93,2%,Very Remote,"Wudinna Area School, Wudinna, SA",12,90723,1009,Government,Combined,,1,17,174,,2009,392,376,396,388,396,476,470,473,483,476,551,572,549,548,552,568,594,575,559,560,R-12
101,1000,85,,170.3,6.5,15.2,86,2%,Very Remote,"Wudinna Area School, Wudinna, SA",9,90723,1009,Government,Combined,,,16,171,,2008,407,400,403,404,431,516,507,500,489,485,562,584,566,550,567,577,611,591,580,599,-
102,1000,34,,75,3.1,5.4,41,3%,Remote,"Pinnaroo Primary School, Pinnaroo, SA",7,90722,1008,Government,Primary,,,6,75,,2014,415,398,393,402,393,468,462,511,482,465,-,-,-,-,-,,,,,,R-7
103,1000,33,,71,2.6,6.1,38,-,Remote,"Pinnaroo Primary School, Pinnaroo, SA",7,90722,1019,Government,Primary,,,7,71,,2013,471,395,437,439,440,484,482,493,478,449,-,-,-,-,-,,,,,,R-7
104,1000,30,,65,2.5,5.7,35,0%,Remote,"Pinnaroo Primary School, Pinnaroo, SA",7,90722,1035,Government,Primary,,,7,65,,2012,420,359,415,370,395,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
105,1000,31,,60,2.5,5.5,29,-,Remote,"Pinnaroo Primary School, Pinnaroo, SA",6,90722,1031,Government,Primary,,,6,60,,2011,385,401,386,396,425,456,437,479,450,466,,,,,,,,,,,R-7
106,1000,38,,71,2.6,5.5,33,-,Remote,"Pinnaroo Primary School, Pinnaroo, SA",7,90722,1026,Government,Primary,,,6,71,,2010,-,-,-,-,-,445,500,473,488,489,512,555,524,527,482,,,,,,R-7
107,1000,37,,72,2.8,6.1,35,1%,Remote,"Pinnaroo Primary School, Pinnaroo, SA",8,90722,956,Government,Primary,,,7,72,,2009,337,317,336,312,369,-,-,-,-,-,540,525,525,547,526,,,,,,R-7
108,1000,39,,78,2.6,5.5,39,4%,Remote,"Pinnaroo Primary School, Pinnaroo, SA",6,90722,956,Government,Primary,,,6,78,,2008,386,416,394,417,405,501,466,477,473,471,521,509,502,506,539,,,,,,-
109,1000,106,23,230.2,7.2,18.2,125,1%,Provincial,"Booleroo Centre District School, Booleroo Centre, SA",9,90729,1028,Government,Combined,7,23,22,231,167,2014,434,432,424,385,406,453,477,507,470,416,589,565,586,570,538,614,618,618,612,595,R-12
110,1000,100,29,221.3,7.5,19.4,123,1%,Provincial,"Booleroo Centre District School, Booleroo Centre, SA",10,90729,1011,Government,Combined,1,25,23,223,28,2013,389,358,427,357,366,488,484,491,479,460,525,552,527,531,510,602,605,597,584,554,R-12
111,1000,117,20,240.8,8.5,18,125,1%,Provincial,"Booleroo Centre District School, Booleroo Centre, SA",10,90729,1013,Government,Combined,,17,22,242,15,2012,426,400,443,418,398,532,520,536,517,485,552,566,549,524,506,578,578,573,572,539,R-12
112,1000,109,17,233.3,7.7,17.8,128,2%,Provincial,"Booleroo Centre District School, Booleroo Centre, SA",9,90729,1012,Government,Combined,2,16,21,237,2,2011,408,416,444,392,396,467,474,457,450,457,550,560,549,536,536,561,575,573,552,526,R-12
