,Australian Government capital expenditure,Australian Government recurrent funding,Average ICSEA value,Boys,Completed senior secondary school,"Fees, charges and parent contributions",Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Income allocated to current capital projects,Income allocated to debt servicing(including principal repayments and interest on loans),Income allocated to future capital projects and diocesan capital funds,Indigenous students,"Less
                                           
                            deductions",Location,Name,New school loans,Non-teaching staff,Other,Other private sources,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,State/territory government capital expenditure,State/territory government recurrent funding,Subtotal,Teaching staff,Total capital expenditure,Total enrolments,"Total gross income
                            (excluding income from government capital grants)",Total net recurrent income,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
12,"278,190","563,939",1000,225,,"203,368",439,7.3,21.2,214,0,0,393,1%,393,Metropolitan,"Stradbroke School, Rostrevor, SA",0,9,0,"91,093",90787,1061,Government,Primary,,,0,"3,051,650",393,24,"278,190",439,"3,910,051","3,909,658",,2009,410,386,412,404,412,532,485,514,514,496,580,559,572,565,586,,,,,,3-7
13,,,1000,233,,,450,7.7,21.5,217,,,,-,,Metropolitan,"Stradbroke School, Rostrevor, SA",,10,,,90787,1061,Government,Primary,,,,,,24,,450,,,,2008,393,405,411,401,404,507,479,485,501,468,557,565,556,574,594,,,,,,-
14,,,1000,202,,,388,13.7,25.4,186,,,,13%,,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",,18,,,90786,935,Government,Primary,,,,,,30,,388,,,,2014,356,364,367,354,348,431,440,453,441,432,501,496,512,497,482,,,,,,"U, R-7"
15,0,"871,498",1000,195,,"88,392",366,10.9,23.8,171,0,0,0,12%,0,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",0,14,"11,147","43,350",90786,942,Government,Primary,,,"1,450,975","3,783,188",0,27,"1,462,122",366,"4,786,428","4,786,428",,2013,336,345,347,333,323,471,437,475,448,445,527,523,533,512,525,,,,,,"U, R-7"
16,0,"580,798",1000,203,,"94,460",381.5,13.5,30,179,0,0,0,10%,0,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",0,18,0,"35,366",90786,930,Government,Primary,,,"2,170,232","3,667,018",0,33,"2,170,232",382,"4,377,642","4,377,642",,2012,341,344,349,344,359,442,437,459,437,432,521,506,522,512,486,,,,,,"U, R-7"
17,0,"677,338",1000,227,,"142,284",432,13.6,28,205,0,0,0,11%,0,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",0,19,0,"51,921",90786,930,Government,Primary,,,0,"3,921,475",0,31,0,432,"4,793,018","4,793,018",,2011,383,366,383,373,392,463,447,469,454,453,499,485,500,503,485,,,,,,"U, R-7"
18,"1,919,605","902,077",1000,244,,"161,102",456,14.9,27,212,0,0,0,11%,0,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",0,20,"62,400","33,304",90786,927,Government,Primary,,,0,"3,808,242",0,29,"1,982,005",456,"4,904,725","4,904,725",,2010,364,356,374,352,381,473,447,482,465,476,510,506,505,498,504,,,,,,"U, R-7"
19,"969,259","733,393",1000,269,,"142,326",495,14.7,28.6,226,0,0,0,10%,0,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",0,20,0,"50,853",90786,928,Government,Primary,,,0,"4,063,023",0,30,"969,259",495,"4,989,594","4,989,594",,2009,375,355,375,360,397,465,454,481,455,461,498,492,503,486,499,,,,,,"U, R-7"
20,,,1000,250,,,470,14.1,25,220,,,,6%,,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",,20,,,90786,928,Government,Primary,,,,,,27,,470,,,,2008,379,387,393,368,411,473,437,462,458,448,510,496,518,522,520,,,,,,-
21,,,1000,191,,,399.2,3.9,21.5,209,,,,3%,,Metropolitan,"Seacliff Primary School, Seacliff, SA",,7,,,90784,1072,Government,Primary,,,,,,24,,400,,,,2014,418,389,420,388,395,501,497,504,485,465,537,543,550,541,493,,,,,,R-7
22,0,"529,267",1000,196,,"220,134",399.8,4.4,22.8,204,0,0,"3,550",4%,"3,550",Metropolitan,"Seacliff Primary School, Seacliff, SA",0,8,"111,758","50,086",90784,1076,Government,Primary,,,0,"3,021,309","3,550",26,"111,758",400,"3,820,796","3,817,246",,2013,437,408,443,424,416,509,495,509,485,466,546,551,557,575,528,,,,,,R-7
23,"27,366","425,238",1000,193,,"184,358",381,5.4,20.4,188,0,0,"3,995",4%,"3,995",Metropolitan,"Seacliff Primary School, Seacliff, SA",0,9,"7,707","51,386",90784,1071,Government,Primary,,,0,"2,838,291","3,995",24,"35,073",381,"3,499,273","3,495,278",,2012,409,392,430,411,403,490,486,512,485,462,550,551,542,543,513,,,,,,R-7
24,"299,299","413,419",1000,177,,"165,460",359,4.3,19.6,182,0,0,"4,030",4%,"4,030",Metropolitan,"Seacliff Primary School, Seacliff, SA",0,6,0,"85,233",90784,1073,Government,Primary,,,0,"2,707,778","4,030",22,"299,299",359,"3,371,890","3,367,860",,2011,424,413,418,416,412,487,502,507,481,447,533,554,553,537,540,,,,,,R-7
25,"1,822,130","522,596",1000,192,,"140,879",357,4.1,18.2,165,0,0,"3,499",4%,"3,499",Metropolitan,"Seacliff Primary School, Seacliff, SA",0,6,"11,944","62,934",90784,1077,Government,Primary,,,0,"2,468,553","3,499",21,"1,834,074",357,"3,194,962","3,191,463",,2010,400,369,408,393,413,498,499,513,485,486,525,536,544,524,529,,,,,,R-7
26,"235,499","438,778",1000,180,,"155,113",331,5.8,17.6,151,0,0,"3,250",2%,"3,250",Metropolitan,"Seacliff Primary School, Seacliff, SA",0,8,0,"68,521",90784,1089,Government,Primary,,,"141,795","2,414,424","3,250",20,"377,294",331,"3,076,836","3,073,586",,2009,441,409,425,410,422,484,470,508,471,477,528,524,530,507,530,,,,,,R-7
27,,,1000,164,,,313,5.2,16,149,,,,1%,,Metropolitan,"Seacliff Primary School, Seacliff, SA",,7,,,90784,1089,Government,Primary,,,,,,18,,313,,,,2008,406,401,400,425,422,479,457,484,473,481,553,546,574,536,565,,,,,,-
28,,,1000,236,,,429,12.8,41.4,193,,,,12%,,Metropolitan,"Blair Athol North School B-7, Blair Athol, SA",,20,,,91574,931,Government,Primary,,,,,,45,,429,,,,2014,350,325,338,359,344,439,443,423,459,418,482,477,495,510,464,,,,,,"U, R-7"
29,0,"1,507,719",1000,215,,"42,805",398,10.6,39.6,183,0,"2,364,537",0,11%,"2,364,537",Metropolitan,"Blair Athol North School B-7, Blair Athol, SA",0,16,0,"69,413",91574,914,Government,Primary,,,0,"7,249,087","2,364,537",44,0,398,"8,869,024","6,504,487",,2013,349,363,347,351,360,422,408,441,449,433,454,475,468,483,456,,,,,,"U, R-7"
30,0,"1,135,979",1000,194,,"43,802",367,11.8,35.3,173,0,"2,491,915",0,9%,"2,491,915",Metropolitan,"Blair Athol North School B-7, Blair Athol, SA","8,755",17,0,"80,840",91574,922,Government,Primary,,,"160,953","7,260,050","2,491,915",38,"169,708",367,"8,520,671","6,028,756",,2012,325,319,333,348,366,353,401,405,425,389,508,491,504,505,482,,,,,,"U, R-7"
31,0,"1,140,016",1000,191,,"78,343",349,9.2,29.8,158,0,"2,697,417",0,12%,"2,697,417",Metropolitan,"Blair Athol North School B-7, Blair Athol, SA","23,040,612",12,0,"112,999",91574,924,Government,Primary,,,"356,566","6,702,861","2,697,417",32,"23,397,178",349,"8,034,219","5,336,802",,2011,350,350,342,342,360,393,428,409,413,390,480,478,471,495,486,,,,,,"U, R-7"
32,,,1000,328,,,626,7.1,34.8,298,,,,1%,,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",,9,,,90897,1052,Government,Primary,,,,,,38,,626,,,,2014,414,390,405,396,400,515,488,504,486,464,552,564,559,547,532,,,,,,R-7
33,0,"879,094",1000,333,,"226,463",653,7.6,35.8,320,0,"4,908","3,530",2%,"8,438",Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",0,10,"23,769","46,760",90897,1049,Government,Primary,,,0,"4,984,366","8,438",37,"23,769",653,"6,136,683","6,128,245",,2013,439,385,431,408,406,515,478,490,481,469,550,551,544,552,539,,,,,,R-7
34,0,"470,111",1000,212,,"162,346",402,2,23.5,190,0,"4,894","1,793",1%,"6,687",Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",0,2,0,"56,568",90897,1040,Government,Primary,,,0,"3,173,424","6,687",25,0,402,"3,862,449","3,855,762",,2012,399,373,403,396,400,503,500,503,485,491,566,576,564,570,541,,,,,,3-7
35,"33,739","536,840",1000,217,,"181,515",403,2,20.5,186,0,"4,505","2,462",1%,"6,967",Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",0,2,0,"112,488",90897,1038,Government,Primary,,,0,"3,083,295","6,967",24,"33,739",403,"3,914,138","3,907,171",,2011,397,374,410,388,401,521,495,515,484,498,531,541,542,543,533,,,,,,R-7
36,"2,382,794","601,850",1000,217,,"163,643",399,2.5,16.4,182,0,"15,810","2,235",1%,"18,045",Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",0,3,"12,176","119,675",90897,1041,Government,Primary,,,0,"2,792,559","18,045",17,"2,394,970",399,"3,677,727","3,659,682",,2010,409,398,411,388,413,504,492,494,482,490,540,546,557,542,547,,,,,,3-7
37,"256,600","486,313",1000,206,,"171,408",387,3.7,17.2,181,0,"10,156","2,890",2%,"13,046",Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",0,4,"22,364","119,652",90897,1031,Government,Primary,,,0,"2,713,499","13,046",18,"278,964",387,"3,490,872","3,477,825",,2009,427,395,418,397,416,491,480,491,479,494,557,546,557,549,559,,,,,,3-7
38,,,1000,208,,,380,5.3,16.7,172,,,,2%,,Metropolitan,"West Lakes Shore School R-7, West Lakes Shore, SA",,6,,,90897,1031,Government,Primary,,,,,,18,,380,,,,2008,419,417,416,402,435,518,497,493,483,500,549,569,559,562,540,,,,,,-
39,,,1000,162,,,304,9.3,17.4,142,,,,9%,,Metropolitan,"Woodville Primary School, Woodville South, SA",,14,,,90628,1001,Government,Primary,,,,,,18,,304,,,,2014,443,406,418,415,376,492,458,489,492,440,553,529,555,542,516,,,,,,R-7
40,0,"617,124",1000,177,,"92,283",332,9.5,19.8,155,0,0,0,8%,0,Metropolitan,"Woodville Primary School, Woodville South, SA",0,14,0,"79,481",90628,993,Government,Primary,,,0,"3,084,197",0,21,0,332,"3,873,085","3,873,085",,2013,443,380,413,419,414,516,463,485,492,463,551,520,537,549,535,,,,,,R-7
41,0,"580,938",1000,200,,"86,538",354,7.6,21.8,154,0,0,0,8%,0,Metropolitan,"Woodville Primary School, Woodville South, SA",0,12,"2,253","87,192",90628,996,Government,Primary,,,"21,631","3,104,758",0,24,"23,884",354,"3,859,426","3,859,426",,2012,405,373,390,404,389,505,479,499,491,470,554,531,538,534,518,,,,,,R-7
42,"256,077","504,939",1000,187,,"150,979",347,8.7,19.9,160,0,0,0,6%,0,Metropolitan,"Woodville Primary School, Woodville South, SA",0,11,"11,525","149,342",90628,1007,Government,Primary,,,"24,335","3,007,808",0,21,"291,937",347,"3,813,068","3,813,068",,2011,412,375,409,381,392,520,478,490,487,472,549,533,541,535,506,,,,,,R-7
43,"2,118,167","543,439",1000,200,,"173,022",369,8,21.1,169,0,0,0,6%,0,Metropolitan,"Woodville Primary School, Woodville South, SA",0,12,"16,354","48,863",90628,1014,Government,Primary,,,0,"2,955,884",0,24,"2,134,521",369,"3,721,208","3,721,208",,2010,434,371,399,403,412,532,480,479,496,482,571,534,536,533,513,,,,,,"U, R-7"
44,"10,750","539,528",1000,208,,"180,103",387,5.3,23.8,179,0,0,0,5%,0,Metropolitan,"Woodville Primary School, Woodville South, SA",0,6,0,"38,535",90628,969,Government,Primary,,,0,"3,046,711",0,26,"10,750",387,"3,804,878","3,804,878",,2009,407,373,421,414,401,506,475,503,498,493,543,531,538,541,519,,,,,,"U, R-7"
45,,,1000,216,,,386,6,24.2,170,,,,5%,,Metropolitan,"Woodville Primary School, Woodville South, SA",,7,,,90628,969,Government,Primary,,,,,,26,,386,,,,2008,390,387,395,418,417,493,456,476,484,475,575,542,552,575,545,,,,,,-
46,,,1000,41,,,71,2.4,5.4,30,,,,-,,Provincial,"Mary MacKillop Memorial School, Penola, SA",,7,,,91023,1018,Non-government,Primary,,,,,,8,,71,,,,2014,388,354,369,367,363,506,477,508,472,475,523,509,532,504,476,,,,,,R-7
47,0,"783,131",1000,44,,"104,147",73,3,5.7,29,0,"53,348",0,-,"53,348",Provincial,"Mary MacKillop Memorial School, Penola, SA",0,7,"42,501","25,579",91023,1032,Non-government,Primary,,,0,"124,061","53,348",9,"42,501",73,"1,036,918","983,570",,2013,450,356,424,389,405,521,469,525,495,492,536,509,521,540,502,,,,,,"U, R-7"
48,"17,869","852,293",1000,41,,"130,166",79,1.8,5.7,38,"9,645","53,669",0,-,"63,314",Provincial,"Mary MacKillop Memorial School, Penola, SA",323,4,"5,224","23,535",91023,1045,Non-government,Primary,,,0,"144,978","63,314",7,"33,061",79,"1,150,972","1,087,658",,2012,430,370,438,403,427,496,465,487,475,470,578,518,569,556,543,,,,,,"U, R-7"
49,"236,275","720,775",1000,45,,"116,374",82,1.8,5.8,37,"11,705","54,172",0,-,"65,877",Provincial,"Mary MacKillop Memorial School, Penola, SA","1,984",5,"36,555","25,040",91023,1047,Non-government,Primary,,,0,"134,325","65,877",8,"286,519",82,"996,514","930,637",,2011,439,369,400,423,425,468,457,492,465,473,499,572,526,508,507,,,,,,"U, R-7"
50,"582,820","696,176",1000,47,,"123,942",85,1.7,6,38,"9,030","53,191",0,-,"62,221",Provincial,"Mary MacKillop Memorial School, Penola, SA","2,261",5,"13,637","24,499",91023,1046,Non-government,Primary,,,0,"126,613","62,221",7,"607,748",85,"971,230","909,009",,2010,381,363,389,368,424,517,461,489,493,491,543,524,549,531,536,,,,,,"U, R-7"
51,"77,504","601,522",1000,41,,"124,439",76,1.3,5,35,0,"56,152",670,-,"56,822",Provincial,"Mary MacKillop Memorial School, Penola, SA",0,5,"43,970","36,334",91023,1051,Non-government,Primary,,,0,"101,139","56,822",6,"121,474",76,"863,434","806,612",,2009,422,372,395,394,440,460,462,457,459,484,-,-,-,-,-,,,,,,"U, R-7"
52,,,1000,34,,,66,1.5,4.8,32,,,,-,,Provincial,"Mary MacKillop Memorial School, Penola, SA",,5,,,91023,1051,Non-government,Primary,,,,,,6,,66,,,,2008,454,389,433,420,447,502,470,514,489,517,483,500,519,508,527,,,,,,-
53,,,1000,130,20,,247.3,9.2,21.2,121,,,,2%,,Remote,"Yorketown Area School, Yorketown, SA",,12,,,90725,986,Government,Combined,3,16,,,,23,,251,,,314,2014,362,377,381,406,351,482,456,469,446,439,541,530,521,522,508,572,597,571,551,570,R-12
54,"684,854","667,774",1000,137,20,"77,814",258.8,9.1,19.5,123,0,0,0,2%,0,Remote,"Yorketown Area School, Yorketown, SA",0,12,"20,219","20,930",90725,987,Government,Combined,7,14,"4,574","3,325,107",0,22,"709,647",260,"4,091,625","4,091,625",8,2013,376,373,404,358,396,454,436,477,451,462,491,504,499,502,490,562,571,581,576,538,R-12
55,"97,302","527,615",1000,135,26,"92,482",253,9.3,20.5,122,0,0,0,1%,0,Remote,"Yorketown Area School, Yorketown, SA",0,12,0,"29,930",90725,996,Government,Combined,11,22,0,"3,256,737",0,24,"97,302",257,"3,906,764","3,906,764",11,2012,330,336,319,328,329,465,453,460,454,417,524,525,527,509,516,541,587,546,545,546,R-12
56,"84,131","658,144",1000,137,21,"104,923",260.3,9.4,20,127,0,0,0,1%,0,Remote,"Yorketown Area School, Yorketown, SA",0,13,0,"74,274",90725,999,Government,Combined,7,21,0,"3,094,293",0,21,"84,131",264,"3,931,634","3,931,634",22,2011,366,359,403,389,372,405,436,414,416,426,561,557,555,571,522,564,570,569,577,526,R-12
57,"1,223,784","708,302",1000,152,7,"148,264",278.2,10,21.4,129,0,0,0,1%,0,Remote,"Yorketown Area School, Yorketown, SA",0,14,0,"45,765",90725,1001,Government,Combined,,6,0,"2,884,706",0,22,"1,223,784",281,"3,787,037","3,787,037",,2010,372,355,357,339,396,458,468,438,454,464,560,550,538,553,538,560,598,566,553,555,R-12
58,"147,394","525,890",1000,138,20,"92,919",268.3,7,21,132,0,0,0,1%,0,Remote,"Yorketown Area School, Yorketown, SA",0,9,0,"47,145",90725,978,Government,Combined,,20,0,"2,748,505",0,22,"147,394",270,"3,414,459","3,414,459",,2009,251,288,288,288,312,464,454,458,444,457,540,563,547,570,547,576,586,579,560,568,R-12
59,,,1000,124,,,235.1,6.4,22.4,114,,,,-,,Remote,"Yorketown Area School, Yorketown, SA",,8,,,90725,978,Government,Combined,,,,,,24,,238,,,,2008,326,357,333,351,374,474,455,449,478,490,530,557,541,533,520,541,571,571,552,539,-
60,,,1000,196,35,,364.2,14.9,26.9,171,,,,2%,,Provincial,"Yankalilla Area School, Yankalilla, SA",,21,,,90724,1004,Government,Combined,,27,,,,32,,367,,,405,2014,386,369,381,362,380,511,483,517,483,479,519,528,549,519,470,544,565,574,569,551,R-12
61,"62,270","731,035",1000,183,25,"174,440",358.6,14.2,26.8,176,0,0,0,2%,0,Provincial,"Yankalilla Area School, Yankalilla, SA",0,22,"15,585","64,675",90724,998,Government,Combined,1,21,17,"3,990,756",0,32,"77,872",359,"4,960,906","4,960,906",89,2013,387,349,383,374,382,470,448,488,438,443,501,506,518,495,480,565,603,608,573,571,R-12
62,"168,420","573,568",1000,190,21,"151,216",368.5,11.1,23.8,181,0,0,0,2%,0,Provincial,"Yankalilla Area School, Yankalilla, SA",0,15,"55,357","80,263",90724,994,Government,Combined,1,13,0,"3,906,855",0,27,"223,777",371,"4,711,902","4,711,902",5,2012,346,340,368,347,378,404,423,425,426,421,511,503,518,496,470,534,550,547,538,521,R-12
63,"878,150","640,040",1000,179,26,"177,027",354.6,13.3,22.6,177,0,0,0,1%,0,Provincial,"Yankalilla Area School, Yankalilla, SA",0,18,"25,971","87,359",90724,995,Government,Combined,2,25,"49,992","3,839,439",0,26,"954,113",356,"4,743,865","4,743,865",46,2011,376,381,367,327,370,450,469,475,435,459,536,529,546,502,547,554,561,572,565,554,R-12
64,"1,429,441","875,468",1000,178,30,"150,624",361.6,12.4,26.5,185,0,0,0,2%,0,Provincial,"Yankalilla Area School, Yankalilla, SA",0,17,0,"68,809",90724,995,Government,Combined,,29,"1,095,659","3,613,883",0,30,"2,525,100",363,"4,708,784","4,708,784",,2010,350,352,357,336,380,448,448,446,460,451,502,504,523,502,508,561,570,567,552,555,R-12
65,"170,146","673,021",1000,180,21,"150,324",366.6,11.5,27.5,187,0,0,0,2%,0,Provincial,"Yankalilla Area School, Yankalilla, SA",0,16,0,"60,857",90724,982,Government,Combined,,19,"423,079","3,801,354",0,31,"593,225",367,"4,685,556","4,685,556",,2009,384,383,358,357,382,492,474,519,451,472,538,528,530,543,536,547,552,555,535,537,R-12
66,,,1000,180,,,390.9,13.4,28.8,213,,,,3%,,Provincial,"Yankalilla Area School, Yankalilla, SA",,17,,,90724,982,Government,Combined,,,,,,30,,393,,,,2008,362,374,363,369,393,467,428,456,447,466,506,530,513,498,504,547,551,568,560,532,-
67,,,1000,175,51,,328.6,10.9,25.4,175,,,,3%,,Provincial,"Balaklava High School, Balaklava, SA",,15,,,90727,953,Government,Secondary,3,40,,,,29,,350,,,293,2014,,,,,,,,,,,,,,,,543,568,549,548,524,8-12
68,0,"884,809",1000,185,47,"198,681",337.8,9.2,25.5,164,0,0,0,2%,0,Provincial,"Balaklava High School, Balaklava, SA",0,13,0,"94,024",90727,957,Government,Secondary,,38,0,"4,201,636",0,28,0,349,"5,379,150","5,379,150",68,2013,,,,,,,,,,,,,,,,537,564,548,554,528,8-12
69,"92,025","624,635",1000,183,44,"157,299",347.6,10.4,27.4,174,0,0,0,3%,0,Provincial,"Balaklava High School, Balaklava, SA",0,14,"111,401","81,905",90727,973,Government,Secondary,,38,0,"4,118,651",0,29,"203,426",357,"4,982,490","4,982,490",108,2012,,,,,,,,,,,,,,,,541,556,546,538,549,8-12
70,"553,419","881,975",1000,197,45,"202,993",358.3,11.3,27.8,175,0,0,0,3%,0,Provincial,"Balaklava High School, Balaklava, SA",0,16,"1,131","85,036",90727,974,Government,Secondary,,29,0,"4,104,778",0,30,"554,550",372,"5,274,782","5,274,782",82,2011,,,,,,,,,,,,,,,,545,549,552,539,546,8-12
71,"1,646,206","1,461,471",1000,200,42,"156,549",367.6,11.5,29.7,181,0,0,0,2%,0,Provincial,"Balaklava High School, Balaklava, SA",0,16,"20,181","421,691",90727,976,Government,Secondary,,37,0,"3,867,889",0,32,"1,666,387",381,"5,907,600","5,907,600",,2010,,,,,,,,,,,,,,,,547,554,548,550,546,8-12
72,"161,573","696,229",1000,206,50,"171,593",377.5,9.4,29.8,186,0,0,0,1%,0,Provincial,"Balaklava High School, Balaklava, SA",0,14,"6,064","76,709",90727,966,Government,Secondary,,46,"1,002","3,831,372",0,31,"168,639",392,"4,775,902","4,775,902",,2009,,,,,,,,,,,,,,,,542,550,542,537,529,8-12
73,,,1000,201,,,386,11.7,27.7,200,,,,1%,,Provincial,"Balaklava High School, Balaklava, SA",,16,,,90727,966,Government,Secondary,,,,,,29,,401,,,,2008,,,,,,,,,,,,,,,,543,550,565,563,546,-
74,,,1000,656,254,,1247,23.3,93.8,595,,,,2%,,Metropolitan,"Adelaide High School, Adelaide, SA",,28,,,90726,1074,Government,Secondary,12,214,,,,108,,1251,,,715,2014,,,,,,,,,,,,,,,,613,613,609,615,594,"U, 8-12"
75,"4,500","2,628,158",1000,647,241,"1,650,247",1253.3,21.6,92.7,608,0,0,0,2%,0,Metropolitan,"Adelaide High School, Adelaide, SA",0,25,"177,241","1,226,166",90726,1065,Government,Secondary,25,218,"7,290,074","12,320,532",0,102,"7,471,815",1255,"17,825,103","17,825,103",189,2013,,,,,,,,,,,,,,,,607,618,597,599,578,"U, 8-12"
